ID,Words,POS,Position,Condition,Prob of coming after,Prob of coming bef,,POSbef,Probbef,,POSaft,Probaft,,replace,for
35,café,NOU,2,normal,0.790606201,0.024923632,,,,,,,,,
35,est,VER,3,normal,0.032714167,0.070952513,,,,,,,,,
35,devenu,VER,4,normal,0.067543454,0.241223404,,,,,,,,,
35,froid,ADJ,5,normal,0.042561628,,,,,,,,,,
36,Ses,DET,1,normal,,0.555390947,,,,,,,,,
36,fleurs,NOU,2,normal,0.790606201,0.024923632,,,,,,,,,
36,sont,VER,3,normal,0.032714167,0.070952513,,,,,,,,,
36,restées,VER,4,normal,0.067543454,0.241223404,,,,,,,,,
36,belles,ADJ,5,normal,0.042561628,,,,,,,,,,
37,Tes,DET,1,normal,,0.555390947,,,,,,,,,
37,cheveux,NOU,2,normal,0.790606201,0.024923632,,,,,,,,,
37,ont,VER,3,normal,0.032714167,0.070952513,,,,,,,,,
37,été,VER,4,normal,0.067543454,0.070952513,,,,,,,,,
37,mouillés,VER,5,normal,0.067543454,,,,,,,,,,
38,Plusieurs,PRO,1,normal,,0.004197531,,,,,,,,,
38,ours,NOU,2,normal,0.003566334,0.147968044,,,,,,,,,
38,se,PRO,3,normal,0.231217078,0.766592613,,,,,,,,,
38,sont,VER,4,normal,0.656324299,0.070952513,,,,,,,,,
38,bousculés,VER,5,normal,0.067543454,,,,,,,,,,
39,Une,DET,1,normal,,0.555390947,,,,,,,,,
39,montagne,NOU,2,normal,0.790606201,0.147968044,,,,,,,,,
39,se,PRO,3,normal,0.231217078,0.766592613,,,,,,,,,
39,monte,VER,4,normal,0.656324299,0.430972389,,,,,,,,,
39,péniblement,ADV,5,normal,0.237261252,,,,,,,,,,
40,Le,DET,1,normal,,0.555390947,,,,,,,,,
40,chaton,NOU,2,normal,0.790606201,0.024923632,,,,,,,,,
40,avait,VER,3,normal,0.032714167,0.430972389,,,,,,,,,
40,bien,ADV,4,normal,0.237261252,0.06095529,,,,,,,,,
40,grandi,VER,5,normal,0.101409101,,,,,,,,,,
41,Parfois,ADV,1,normal,,0.098520992,,,,,,,,,
41,ton,DET,2,normal,0.095403095,0.555390947,,,,,,,,,
41,arbre,NOU,3,normal,0.790606201,0.024923632,,,,,,,,,
41,est,VER,4,normal,0.032714167,0.241223404,,,,,,,,,
41,mignon,ADJ,5,normal,0.042561628,,,,,,,,,,
42,Souvent,ADV,1,normal,,0.098520992,,,,,,,,,
42,la,DET,2,normal,0.095403095,0.555390947,,,,,,,,,
42,rivière,NOU,3,normal,0.790606201,0.024923632,,,,,,,,,
42,coule,VER,4,normal,0.032714167,0.430972389,,,,,,,,,
42,doucement,ADV,5,normal,0.237261252,,,,,,,,,,
43,Quand,CON,1,normal,,0.069895038,,,,,,,,,
43,les,DET,2,normal,0.098636593,0.555390947,,,,,,,,,
43,cascades,NOU,3,normal,0.790606201,0.024923632,,,,,,,,,
43,sont,VER,4,normal,0.032714167,0.241223404,,,,,,,,,
43,bruyantes,ADJ,5,normal,0.042561628,,,,,,,,,,
44,Lorsque,CON,1,normal,,0.069895038,,,,,,,,,
44,le,DET,2,normal,0.098636593,0.555390947,,,,,,,,,
44,mouton,NOU,3,normal,0.790606201,0.024923632,,,,,,,,,
44,dort,VER,4,normal,0.032714167,0.430972389,,,,,,,,,
44,longtemps,ADV,5,normal,0.237261252,,,,,,,,,,
45,Alors,ADV,1,normal,,0.122148894,,,,,,,,,
45,cette,PRO,2,normal,0.243705244,0.004197531,,,,,,,,,
45,horloge,NOU,3,normal,0.003566334,0.024923632,,,,,,,,,
45,tourne,VER,4,normal,0.032714167,0.430972389,,,,,,,,,
45,mal,ADV,5,normal,0.237261252,,,,,,,,,,
46,Comme,ADV,1,normal,,0.122148894,,,,,,,,,
46,ces,PRO,2,normal,0.243705244,0.004197531,,,,,,,,,
46,affiches,NOU,3,normal,0.003566334,0.024923632,,,,,,,,,
46,collent,VER,4,normal,0.032714167,0.430972389,,,,,,,,,
46,bien,ADV,5,normal,0.237261252,,,,,,,,,,
47,Et,CON,1,normal,,0.069895038,,,,,,,,,
47,un,DET,2,normal,0.098636593,0.555390947,,,,,,,,,
47,trajet,NOU,3,normal,0.790606201,0.024923632,,,,,,,,,
47,fatigue,VER,4,normal,0.032714167,0.430972389,,,,,,,,,
47,tellement,ADV,5,normal,0.237261252,,,,,,,,,,
48,Donc,ADV,1,normal,,0.098520992,,,,,,,,,
48,une,DET,2,normal,0.095403095,0.555390947,,,,,,,,,
48,girafe,NOU,3,normal,0.790606201,0.024923632,,,,,,,,,
48,mange,VER,4,normal,0.032714167,0.430972389,,,,,,,,,
48,peu,ADV,5,normal,0.237261252,,,,,,,,,,
49,Ainsi,ADV,1,normal,,0.098520992,,,,,,,,,
49,les,DET,2,normal,0.095403095,0.555390947,,,,,,,,,
49,enfants,NOU,3,normal,0.790606201,0.024923632,,,,,,,,,
49,dessinent,VER,4,normal,0.032714167,0.430972389,,,,,,,,,
49,calmement,ADV,5,normal,0.237261252,,,,,,,,,,
50,Et,CON,1,normal,,0.172860947,,,,,,,,,
50,certains,PRO,2,normal,0.502608988,0.004197531,,,,,,,,,
50,animaux,NOU,3,normal,0.003566334,0.024923632,,,,,,,,,
50,vivent,VER,4,normal,0.032714167,0.241223404,,,,,,,,,
50,vieux,ADJ,5,normal,0.042561628,,,,,,,,,,
51,Or,NOU,1,normal,,0.147968044,,,,,,,,,
51,plusieurs,PRO,2,normal,0.231217078,0.004197531,,,,,,,,,
51,rats,NOU,3,normal,0.003566334,0.024923632,,,,,,,,,
51,passent,VER,4,normal,0.032714167,0.430972389,,,,,,,,,
51,souvent,ADV,5,normal,0.237261252,,,,,,,,,,
52,Car,CON,1,normal,,0.172860947,,,,,,,,,
52,quelques,PRO,2,normal,0.502608988,0.004197531,,,,,,,,,
52,papillons,NOU,3,normal,0.003566334,0.024923632,,,,,,,,,
52,sortent,VER,4,normal,0.032714167,0.430972389,,,,,,,,,
52,ici,ADV,5,normal,0.237261252,,,,,,,,,,
53,Aussi,ADV,1,normal,,0.098520992,,,,,,,,,
53,les,DET,2,normal,0.095403095,0.555390947,,,,,,,,,
53,vestes,NOU,3,normal,0.790606201,0.024923632,,,,,,,,,
53,ferment,VER,4,normal,0.032714167,0.430972389,,,,,,,,,
53,mal,ADV,5,normal,0.237261252,,,,,,,,,,
54,Enfin,ADV,1,normal,,0.122148894,,,,,,,,,
54,cet,PRO,2,normal,0.243705244,0.004197531,,,,,,,,,
54,ogre,NOU,3,normal,0.003566334,0.024923632,,,,,,,,,
54,range,VER,4,normal,0.032714167,0.430972389,,,,,,,,,
54,bien,ADV,5,normal,0.237261252,,,,,,,,,,
55,Puisque,CON,1,normal,,0.069895038,,,,,,,,,
55,ses,DET,2,normal,0.098636593,0.555390947,,,,,,,,,
55,travaux,NOU,3,normal,0.790606201,0.024923632,,,,,,,,,
55,sont,VER,4,normal,0.032714167,0.241223404,,,,,,,,,
55,chers,ADJ,5,normal,0.042561628,,,,,,,,,,
56,Ensuite,ADV,1,normal,,0.098520992,,,,,,,,,
56,son,DET,2,normal,0.095403095,0.555390947,,,,,,,,,
56,bureau,NOU,3,normal,0.790606201,0.024923632,,,,,,,,,
56,semble,VER,4,normal,0.032714167,0.241223404,,,,,,,,,
56,propre,ADJ,5,normal,0.042561628,,,,,,,,,,
57,Néanmoins,ADV,1,normal,,0.098520992,,,,,,,,,
57,les,DET,2,normal,0.095403095,0.555390947,,,,,,,,,
57,enceintes,NOU,3,normal,0.790606201,0.024923632,,,,,,,,,
57,sont,VER,4,normal,0.032714167,0.241223404,,,,,,,,,
57,rondes,ADJ,5,normal,0.042561628,,,,,,,,,,
58,Puis,ADV,1,normal,,0.122148894,,,,,,,,,
58,ces,PRO,2,normal,0.243705244,0.004197531,,,,,,,,,
58,fleurs,NOU,3,normal,0.003566334,0.024923632,,,,,,,,,
58,poussent,VER,4,normal,0.032714167,0.430972389,,,,,,,,,
58,vite,ADV,5,normal,0.237261252,,,,,,,,,,
59,Pourtant,ADV,1,normal,,0.122148894,,,,,,,,,
59,cet,PRO,2,normal,0.243705244,0.004197531,,,,,,,,,
59,homme,NOU,3,normal,0.003566334,0.024923632,,,,,,,,,
59,est,VER,4,normal,0.032714167,0.241223404,,,,,,,,,
59,mystérieux,ADJ,5,normal,0.042561628,,,,,,,,,,
60,Aussi,ADV,1,normal,,0.098520992,,,,,,,,,
60,son,DET,2,normal,0.095403095,0.555390947,,,,,,,,,
60,livre,NOU,3,normal,0.790606201,0.024923632,,,,,,,,,
60,sert,VER,4,normal,0.032714167,0.430972389,,,,,,,,,
60,parfois,ADV,5,normal,0.237261252,,,,,,,,,,
61,Toutefois,ADV,1,normal,,0.098520992,,,,,,,,,
61,le,DET,2,normal,0.095403095,0.555390947,,,,,,,,,
61,loup,NOU,3,normal,0.790606201,0.024923632,,,,,,,,,
61,devient,VER,4,normal,0.032714167,0.241223404,,,,,,,,,
61,libre,ADJ,5,normal,0.042561628,,,,,,,,,,
62,Sinon,CON,1,normal,,0.069895038,,,,,,,,,
62,une,DET,2,normal,0.098636593,0.555390947,,,,,,,,,
62,lumière,NOU,3,normal,0.790606201,0.024923632,,,,,,,,,
62,éblouit,VER,4,normal,0.032714167,0.430972389,,,,,,,,,
62,moins,ADV,5,normal,0.237261252,,,,,,,,,,
63,Cependant,ADV,1,normal,,0.122148894,,,,,,,,,
63,cette,PRO,2,normal,0.243705244,0.004197531,,,,,,,,,
63,robe,NOU,3,normal,0.003566334,0.024923632,,,,,,,,,
63,est,VER,4,normal,0.032714167,0.241223404,,,,,,,,,
63,classique,ADJ,5,normal,0.042561628,,,,,,,,,,
64,Vraiment,ADV,1,normal,,0.122148894,,,,,,,,,
64,ce,PRO,2,normal,0.243705244,0.004197531,,,,,,,,,
64,cochon,NOU,3,normal,0.003566334,0.024923632,,,,,,,,,
64,mange,VER,4,normal,0.032714167,0.430972389,,,,,,,,,
64,lentement,ADV,5,normal,0.237261252,,,,,,,,,,
65,Si,ADV,1,normal,,0.098520992,,,,,,,,,
65,tes,DET,2,normal,0.095403095,0.555390947,,,,,,,,,
65,clés,NOU,3,normal,0.790606201,0.024923632,,,,,,,,,
65,sont,VER,4,normal,0.032714167,0.070952513,,,,,,,,,
65,rouillées,VER,5,normal,0.067543454,,,,,,,,,,
