item_nr;prime;all;target;condition
136;facenure;facenure;facenure;stem/non-suffix
137;fantômenule;fantômenule;fantômenule;stem/non-suffix
138;arrêtipe;arrêtipe;arrêtipe;stem/non-suffix
139;boisipe;boisipe;boisipe;stem/non-suffix
140;pouletème;pouletème;pouletème;stem/non-suffix
141;chienaste;chienaste;chienaste;stem/non-suffix
142;biscuitil;biscuitil;biscuitil;stem/non-suffix
143;garsare;garsare;garsare;stem/non-suffix
144;têtelot;têtelot;têtelot;stem/non-suffix
145;trounure;trounure;trounure;stem/non-suffix
146;airenure;airenure;airenure;stem/non-suffix
147;sourisisse;sourisisse;sourisisse;stem/non-suffix
148;laitope;laitope;laitope;stem/non-suffix
149;lunelot;lunelot;lunelot;stem/non-suffix
150;nuiterge;nuiterge;nuiterge;stem/non-suffix
151;nidil;nidil;nidil;stem/non-suffix
152;parcache;parcache;parcache;stem/non-suffix
153;chevalème;chevalème;chevalème;stem/non-suffix
154;pointerge;pointerge;pointerge;stem/non-suffix
155;rouenure;rouenure;rouenure;stem/non-suffix
156;droitate;droitate;droitate;stem/non-suffix
157;jusache;jusache;jusache;stem/non-suffix
158;sablenule;sablenule;sablenule;stem/non-suffix
159;trésorisse;trésorisse;trésorisse;stem/non-suffix
160;sensare;sensare;sensare;stem/non-suffix
161;pistenure;pistenure;pistenure;stem/non-suffix
162;pierrenule;pierrenule;pierrenule;stem/non-suffix
163;frontaste;frontaste;frontaste;stem/non-suffix
164;jourouse;jourouse;jourouse;stem/non-suffix
165;tapisisse;tapisisse;tapisisse;stem/non-suffix
166;tablenure;tablenure;tablenure;stem/non-suffix
167;potare;potare;potare;stem/non-suffix
168;tunnelipe;tunnelipe;tunnelipe;stem/non-suffix
169;muruque;muruque;muruque;stem/non-suffix
170;mondenure;mondenure;mondenure;stem/non-suffix
171;venterge;venterge;venterge;stem/non-suffix
172;blaguipe;blaguipe;blaguipe;stem/non-suffix
173;loupouse;loupouse;loupouse;stem/non-suffix
174;motige;motige;motige;stem/non-suffix
175;dentaste;dentaste;dentaste;stem/non-suffix
176;tempsouse;tempsouse;tempsouse;stem/non-suffix
177;tentenure;tentenure;tentenure;stem/non-suffix
178;trainaste;trainaste;trainaste;stem/non-suffix
179;brasable;brasable;brasable;stem/suffix
180;arbrement;arbrement;arbrement;stem/suffix
181;jambeable;jambeable;jambeable;stem/suffix
182;balaiment;balaiment;balaiment;stem/suffix
183;liteur;liteur;liteur;stem/suffix
184;foudrement;foudrement;foudrement;stem/suffix
185;sangeux;sangeux;sangeux;stem/suffix
186;lettrement;lettrement;lettrement;stem/suffix
187;paineux;paineux;paineux;stem/suffix
