FFDr	FFDp	SFD	GZD	TVT	SKP	nfp	nsp	nap	s1	s2	nlett1	ISL	OSL	f	pred	ILP	haveFixation	haveFirstPass
188	0	188	188	188	0	1	0	1	0	1	5	6.284622	9.322337	3.554126	0.015152	0.384796166666667	1	1
0	0	0	0	0	0	0	0	0	0	0	3	0	0	5.840556	0.030303	0	0	0
338	0	338	338	338	0	1	0	1	1	0	3	9.322337	6.023431	5.83478	0.227273	0.4077785	1	1
132	0	132	132	132	0	1	0	1	0	0	3	6.023431	8.009663	3.260071	0	0.91363625	1	1
0	0	0	122	122	0	0	0	0	0	0	13	8.009663	0	2.173186	0.227273	0	1	1
0	0	0	174	174	0	0	0	0	0	0	3	0	7.676739	5.698007	0.162162	0	1	1
158	158	0	288	288	0	2	0	2	0	0	10	7.676739	6.72886	2.79796	0	0.533822363636364	1	1
190	0	190	190	190	0	1	0	1	0	0	6	6.72886	5.40219	2.961421	0	0.803170428571429	1	1
162	0	162	162	162	0	1	0	1	0	0	5	5.40219	7.164933	4.431862	0	0.6707305	1	1
234	0	234	234	234	0	1	0	1	0	1	11	7.164933	11.643512	2.448706	0.013514	0.432443	1	1
0	0	0	0	0	0	0	0	0	0	0	2	0	0	5.258093	0.513514	0	0	0
198	0	198	198	198	0	1	0	1	1	0	6	11.643512	5.264394	3.216166	0.797297	0.261832571428571	1	1
120	0	120	120	120	0	1	0	1	0	0	3	5.264394	6.263589	5.703461	0.027027	0.0243055	1	1
148	0	148	148	148	0	1	0	1	0	0	4	6.263589	6.061213	4.802787	0.108108	0.4721622	1	1
112	0	112	112	112	0	1	0	1	0	1	4	6.061213	11.010119	4.422934	0.22973	0.6844048	1	1
0	0	0	0	0	0	0	0	0	0	0	3	0	0	4.662626	0.459459	0	0	0
0	0	0	112	112	0	0	0	0	1	0	10	11.010119	0	3.577722	0.905405	0	1	1
0	0	0	234	234	0	0	0	0	0	0	5	0	7.40175	3.531351	0	0	1	1
190	0	190	190	190	0	1	0	1	0	0	6	7.40175	9.096116	2.909556	0	0.637531285714286	1	1
266	0	266	266	266	0	1	0	1	0	0	10	9.096116	9.048789	2.363612	0	0.596257727272727	1	1
188	0	188	188	188	0	1	0	1	0	0	4	9.048789	4.547115	5.902784	0.920635	0.9215248	1	1
204	0	204	204	204	0	1	0	1	0	0	5	4.547115	7.748282	4.158935	0.079365	0.6924565	1	1
0	0	0	160	160	0	1	0	1	0	0	7	7.748282	0	4.052386	0.222222	0	1	1
0	0	0	0	0	0	0	0	0	0	0	3	0	0	5.676708	0.301587	0	0	0
0	0	0	224	224	0	0	0	0	0	0	3	0	5.453013	5.437963	0.029412	0	1	1
158	0	158	158	158	0	1	0	1	0	1	5	5.453013	6.873389	3.114611	0	0.658227833333333	1	1
0	0	0	0	0	0	0	0	0	0	0	3	0	0	5.703461	0.132353	0	0	0
156	0	156	156	156	0	1	0	1	1	0	3	6.873389	6.246341	6.078625	0.058824	0.205689	1	1
240	0	240	240	240	0	1	0	1	0	0	7	6.246341	5.368314	3.258637	0.014706	0.383637125	1	1
94	0	94	94	94	0	1	0	1	0	0	2	5.368314	4.946828	5.776456	0.426471	0.145803666666667	1	1
184	0	184	184	184	0	1	0	1	0	1	3	4.946828	7.246713	5.703461	0.632353	0.59605975	1	1
0	0	0	0	0	0	0	0	0	0	0	3	0	0	6.475158	0.617647	0	0	0
0	0	0	98	98	0	0	0	0	1	0	6	7.246713	0	4.167288	0.426471	0	1	1
0	0	0	348	348	0	0	0	0	0	1	7	0	10.01138	2.356026	0	0	1	1
0	0	0	0	0	0	0	0	0	0	0	3	0	0	5.577601	0.132353	0	0	0
292	0	292	292	292	0	1	0	1	1	1	2	10.01138	5.670799	5.776456	0.088235	0.549962	1	1
0	0	0	0	0	0	0	0	0	0	0	3	0	0	5.784187	0.058824	0	0	0
112	0	112	112	112	0	1	0	1	1	1	4	5.670799	10.060251	4.713667	0	0.064137	1	1
0	0	0	0	0	0	0	0	0	0	0	3	0	0	5.893774	0.283582	0	0	0
146	146	0	270	270	0	2	0	2	1	0	11	10.060251	12.515315	3.77459	0	0.115078	1	1
0	0	0	0	0	0	0	0	0	0	0	3	0	0	5.703461	0.522388	0	0	0
150	0	150	150	150	0	1	0	1	1	0	5	12.515315	7.882722	4.560719	0	0.562185166666667	1	1
0	0	0	40	40	0	0	0	0	0	0	7	7.882722	0	3.4929	0.088235	0	1	1
0	0	0	0	0	0	0	0	0	0	0	6	0	0	3.233757	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	3	0	0	5.878413	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	2	0	0	5.73672	0.470588	0	0	0
0	0	0	0	0	0	0	0	0	0	0	4	0	0	4.67716	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	5	0	0	5.912923	0.323529	0	0	0
0	0	0	0	0	0	0	0	0	0	0	2	0	0	6.035134	0.352941	0	0	0
0	0	0	0	0	0	0	0	0	0	0	10	0	0	4.065244	0.161765	0	0	0
0	0	0	350	350	0	0	0	0	0	0	9	0	11.785564	3.612678	0	0	1	1
